title,text,label
Court Rules in Favor of City in Zoning Dispute,A state appeals court ruled in favor of the city in a long-running zoning dispute involving a proposed residential development. An attorney for the developer said they are reviewing the decision and have not decided whether to appeal.. The three-judge panel found that the city's planning commission had followed proper procedure The plan is subject to approval by the governing board.,REAL
Person Claiming to Be Time Traveler Warns of Imminent Catastrophe,"A person claiming to be a time traveler from the year 2087 has supposedly cautioned of an imminent catastrophe that will destroy civilization. The claims, which are impossible to verify, suggest that a classified event will occur within months. The corporate media is ignoring the warning. Unnamed contacts say the time traveler has provided detailed predictions that have apparently come true. The findings are preliminary and subject to peer review. The report was published on Tuesday.",FAKE
Independent Researchers Claim 5G Towers Spread Deadly Disease,Independent researchers claim that 5G cell towers are spreading a deadly bug and that experts who speak out are being muzzled According to anonymous officials the telecommunications industry knows the actual events but is hiding it to protect profits. The major journalism will not report on the findings. Insiders say the disease was engineered to coincide with the rollout of 5G technology. Additional details are expected to be released in the coming weeks. The findings have not been independently verified.,FAKE
Pharmaceutical Company Recalls Batch of Blood Pressure Medication,Vance Pharmaceuticals declared a voluntary recall of one production lot of its blood pressure medication after routine testing identified a labeling discrepancy. The organization said no adverse health effects have been indicated and that the recall is precautionary. Patients are advised to consult their pharmacist for guidance. The results will be presented at a conference next month.,REAL
Former Aide Assertions World Billionaires Are Reptilian Shapeshifters,"A former aide to a prominent billionaire has allegedly come forward to claim that the world's richest people are actually reptilian shapeshifters. The claims, which cannot be verified, suggest that a race of reptile beings has infiltrated the highest levels of government and business. Informants say the reptilians have been in oversee for hundreds of years. The conventional broadcasters reportedly dismisses the story as a joke The findings have not been independently verified. The data was collected over a period of two years.",FAKE
Hospital Opens New Pediatric Wing,"Mercy General Hospital opened a new pediatric wing on Monday, adding 40 beds and a dedicated intensive care unit for children. Hospital officials stated the 18 million dollar effort was funded through a combination of state grants and private donations. Dr. Emily Ross, head of pediatrics, noted the facility will reduce wait times for families in the region. The plan is subject to approval by the governing board. The organization has not yet issued a formal response.",REAL
NASA Announces Date for Next Satellite Launch,NASA stated that its next environmental monitoring satellite is scheduled to launch from Vandenberg Space Force Base on October 14. The spacecraft will collect data on ocean surface temperatures and atmospheric moisture. Mission managers said the launch window opens at 9:02 a.m. local time and that weather conditions currently appear favorable. The committee will meet again next week to discuss the matter. Officials declined to comment further. The report recommends further study of the issue.,REAL
Researchers Claim Hidden Bible Code Predicts Exact Date of World End,Researchers claim to have discovered a hidden code in the Bible that predicts the exact date of the end of the world. According to anonymous contacts the code was deciphered using advanced computer algorithms. Major religious scholars dismiss the declarations but insiders say the evidence is undeniable. Contacts say the date is approaching and the public has not been warned. Officials declined to comment further. The proposal has received mixed reactions from the public.,FAKE
Population Treatment Spokespeople Study Decline in Flu Cases,Community medical spokespeople reported a 15 percent decline in announced influenza cases this season compared with last season. Dr. She noted that flu activity typically peaks in February and urged residents to continue preventive measures.. Patricia Ng of the county medical department credited increased vaccination rates and earlier public awareness campaigns Additional details are expected to be released in the coming weeks. The full report is available on the department website. The decision was reached after lengthy discussions.,REAL
Scholars Claim Concealed Bible Code Predicts Exact Date of World End,Researchers claim to have discovered a covered up code in the Bible that predicts the exact date of the end of the world. According to unnamed individuals the code was deciphered using advanced computer algorithms. Conventional religious scholars dismiss the charges but insiders say the evidence is undeniable. Insiders say the date is approaching and the citizens has not been warned. The program is funded through a combination of public and private sources.,FAKE
